line,Unnamed: 0,filename,sentence,idx,CIDADE,CIDADE_DOS_ESTADOS_UNIDOS,CIDADE_GRANDE,ENTIDADE_TERRITORIAL_ARTIFICIAL,FREGUESIA_DE_PORTUGAL,HUMANO,MUNICÍPIO_DE_PORTUGAL,PAÍS,REVISTA,SEDE_DE_CONDADO,SUM
1,0,Abrantes.txt,"Monumentos: Abrantes é uma cidade minimamente rica em monumentos, mas que não possuiu tanta variedade como outras. De entre os principais destacam-se o Castelo, com a Torre de Menagem, a Igreja de Santa Maria (um museu, actualmente) e os seus calmos jardins, o Outeiro de São Pedro, as igrejas de São João e de São Vicente, o Convento de São Domingos, parte dele pertencente à Biblioteca Municipal António Botto, as Capelas de São Lourenço e de Santa Ana, entre muitos outros.",0,0,0,0,1,1,0,0,0,0,0,2
7,6,Abrantes.txt,"A carna também não falta e, entre os vários pratos tradicionais, destacam-se o cabrito, os maranhos e o entrecosto com migas carvoeiras.",145,0,0,0,0,0,0,0,0,0,0,0
4,3,Abrantes.txt,"Lazer: Aproveitando o rio Tejo e o pinhal de São Lourenço, a cidade possui vários espaços bastante agradáveis, em contacto com a Natureza e ideias para os dias quentes do Verão Ribatejano. Entre eles há que destacar o Aquapolis (espaço de lazer, próximo do centro da cidade e junto ao Tejo, que permite várias actividades desportivas e momentos agradáveis no seu café com uma vista esplêndida), a Praia Fluvial da Aldeia do Mato, a Albufeira do Castelo de Bode e o Parque Urbano de Abrantes - São Lourenço.",48,0,0,0,1,0,0,0,0,0,0,1
3,2,Abrantes.txt,"Museus: Abrantes não é propriamente cheia de museus, mas sempre tem alguns interessantes, como o Museu D. Lopo de Almeida (o tal na Igreja de Santa Maria do Castelo), os museus ao ar livre das Esculturas de Ferro (jardim do Alto de Santo António) e da Forja (Vila do Tramagal) e a Galeria Municipal de Arte (Praça Raimundo Soares). O Museu Ibérico de Arqueologia e Arte de Abrantes, ainda não acabado, será de certeza uma atracção, mas, por enquanto, algumas das futuras peças são mostradas na Igreja de Santa Maria em várias antevisões, cada uma com um &quot;tema&quot; e peças diferentes da outra.",29,0,0,0,0,1,0,0,0,0,0,1
8,7,Abrantes.txt,"Mas a verdadeira delícia de Abrantes e aquela de que tanto se ouve falar é a doçaria, criada maioritariamente nos conventos da zona. Há que referir a Palha de Abrantes, as tijeladas, as broas de mel fervidas e a lampreia de ovos, que fazem a delícia a qualquer um.",159,0,0,0,0,0,0,0,0,0,0,0
5,4,Abrantes.txt,"A cidade possuiu ainda muitos miradouros, jardins, espaços agradáveis e culturais, bares, discotecas, zonas desportivas e um anfiteatro (Anfiteatro de São Pedro) que pode descobrir no site do turismo da cidade - site: [http://sic.cm-abrantes.pt/turismo/site/index.html] - útil e simples para toda a gente. O Posto de Turismo encontra-se no largo Primeiro de Maio e pode ser muito útil para quem quer explorar o concelho de Abrantes, que tem muito mais para ver que a cidade em si.",93,0,0,0,1,0,0,0,0,0,0,1
2,1,Abrantes.txt,"Praças: Não que sejam a principal atracção da cidade, mas são óptimos locais para relaxar, comer qualquer coisa ou, simplesmente, passar por lá. Destacam-se a Praça da República, que até tem um parque infantil para os mais novos, a Praça Raimundo Soares, a Praça Barão da Batalha, entre outras.",3,0,0,0,1,0,0,0,0,0,0,1
6,5,Abrantes.txt,"As especialidades da cidade, tão próxima do rio, passam por vários pratos de peixe, com especial destaque para o achigã grelhado, o arroz de lampreia e a açorda de sável.",110,0,0,0,1,0,0,0,0,0,0,1
10,12,Abrolhos.txt,"Já em Caravelas, há várias opções de passeio para o arquipélago",208,0,0,0,0,0,0,0,0,0,0,0
5,9,Abrolhos.txt,"O nome Abrolhos veio de uma anotação da carta de navegação de Américo Vespúcio. quando, em 1503, passou por essa região, escreveu: Quando te aproximares da terra, abre os olhos. Daí surgiu o nome Abrolhos para designar uma área cheia de recifes de corais (que chegam a ter 15 km de extensão por 5 km de largura), com cinco ilhotas de origem vulcânica, à cerca de 70 km da costa baiana.",99,0,0,0,0,0,0,0,0,0,0,0
